t,x,u
0.09,0.8,1.99205
0.09,0.81,1.06811
0.09,0.82,0.154449
0.09,0.83,2.00202
0.09,0.84,1.04677
0.09,0.85,0.123577
0.09,0.86,0.138404
0.09,0.87,1.0497
0.09,0.88,1.96003
0.09,0.89,1.93044
0.09,0.9,1.00248
0.09,0.91,0.0736
0.09,0.92,0.0828
0.09,0.93,1.0837
0.09,0.94,1.08411
0.09,0.95,1.08353
0.09,0.96,1.08196
0.09,0.97,1.07941
0.09,0.98,1.07589
0.09,0.99,1.07139
0.09,1,1.06592
0.1,0,0.904837
0.1,0.01,0.914931
0.1,0.02,0.925116
0.1,0.03,0.935394
0.1,0.04,0.945765
0.1,0.05,1.87398
0.1,0.06,0.035713
0.1,0.07,0.98985
0.1,0.08,1.89448
0.1,0.09,0.0785105
0.1,0.1,1.01281
0.1,0.11,1.92542
0.1,0.12,0.0818169
0.1,0.13,1.01808
0.1,0.14,1.9153
0.1,0.15,0.993172
0.1,0.16,0.0700774
0.1,0.17,0.0780043
0.1,0.18,0.989398
0.1,0.19,2.81759
0.1,0.2,0.944859
0.1,0.21,0.963281
0.1,0.22,0.925579
0.1,0.23,-0.897539
0.1,0.24,1.02681
0.1,0.25,1.93942
0.1,0.26,0.0944169
0.1,0.27,1.03348
0.1,0.28,1.9279
0.1,0.29,1.00577
0.1,0.3,0.0826774
0.1,0.31,0.0920043
0.1,0.32,1.0034
0.1,0.33,2.83159
0.1,0.34,0.956059
0.1,0.35,0.977281
0.1,0.36,0.936779
0.1,0.37,-0.883539
0.1,0.38,1.04081
0.1,0.39,1.95342
0.1,0.4,0.107017
0.1,0.41,1.04888
0.1,0.42,1.9405
0.1,0.43,1.01837
0.1,0.44,0.0952774
0.1,0.45,0.106004
0.1,0.46,1.0174
0.1,0.47,2.84559
0.1,0.48,0.967259
0.1,0.49,0.991281
0.1,0.5,0.947979
0.1,0.51,-0.869539
0.1,0.52,1.05481
0.1,0.53,1.96742
0.1,0.54,0.119617
0.1,0.55,1.06428
0.1,0.56,1.9531
0.1,0.57,1.03097
0.1,0.58,0.107877
0.1,0.59,0.120004
0.1,0.6,1.0314
0.1,0.61,2.85959
0.1,0.62,0.978459
0.1,0.63,1.00528
0.1,0.64,0.959179
0.1,0.65,-0.855539
0.1,0.66,1.06881
0.1,0.67,1.98142
0.1,0.68,0.132217
0.1,0.69,1.07968
0.1,0.7,1.9657
0.1,0.71,1.04357
0.1,0.72,0.120477
0.1,0.73,0.134004
0.1,0.74,1.0454
0.1,0.75,2.87359
0.1,0.76,0.989659
0.1,0.77,1.01928
0.1,0.78,0.970379
0.1,0.79,-0.841539
